ID,Licenseplate,vehicleusageID,VehicleStatus,createddate,make,model,year_model,colour,vin,fuel_type
1,ZQ363,276,available for use,2026-08-12 06:23:57,Hyundai,Sportage,2025,Blue,VIN000001,EV
2,YH875,174,out of fleet,2026-06-28 04:46:38,Kia,Model 3,2018,Blue,VIN000002,Petrol
3,IC491,325,available for use,2026-03-27 14:06:43,Kia,Sportage,2021,Silver,VIN000003,EV
4,LQ648,5,available for use,2026-04-13 06:35:49,Ford,i30,2019,Blue,VIN000004,Hybrid
5,CR282,244,in use,2026-03-26 21:11:02,Mazda,i30,2020,Black,VIN000005,EV
6,XG340,124,available for use,2026-03-22 07:18:59,Ford,Ranger,2021,Red,VIN000006,Hybrid
7,EY209,62,out of fleet,2026-09-20 11:01:31,Kia,Model 3,2018,Red,VIN000007,Petrol
8,PL735,162,in use,2026-12-09 03:23:46,Mazda,i30,2025,Black,VIN000008,Hybrid
9,MH868,296,in use,2026-07-24 04:12:34,Tesla,Model 3,2026,White,VIN000009,Hybrid
10,MV894,90,in use,2026-02-16 17:54:45,Kia,CX-5,2025,Silver,VIN000010,Petrol
11,AV315,195,in use,2026-05-07 09:17:06,Hyundai,CX-5,2022,Black,VIN000011,Hybrid
12,HI582,314,in use,2026-03-13 10:11:58,Tesla,Model 3,2021,Blue,VIN000012,Hybrid
13,LM386,231,in use,2026-02-20 22:18:20,Mazda,Sportage,2021,White,VIN000013,Hybrid
14,ZH668,222,available for use,2026-03-18 03:26:29,Ford,Sportage,2020,Blue,VIN000014,Petrol
15,FN611,69,out of fleet,2026-11-26 20:53:16,Kia,CX-5,2026,Silver,VIN000015,EV
16,JI675,291,in use,2026-02-08 10:30:43,Kia,Ranger,2018,Black,VIN000016,Hybrid
17,PU198,231,available for use,2026-04-11 21:13:25,Hyundai,i30,2026,Red,VIN000017,Hybrid
18,LA521,63,in use,2026-09-21 22:11:57,Mazda,Ranger,2026,Black,VIN000018,Hybrid
19,LK789,262,in use,2026-10-14 00:55:17,Tesla,Corolla,2024,Red,VIN000019,Hybrid
20,OU248,86,in use,2026-12-27 14:52:07,Hyundai,Model 3,2024,White,VIN000020,Petrol
21,FK333,161,in use,2026-04-24 03:38:16,Kia,i30,2024,Silver,VIN000021,EV
22,YL865,301,in use,2026-06-24 20:59:40,Tesla,Ranger,2020,White,VIN000022,Diesel
23,XH777,129,out of fleet,2026-09-30 02:58:07,Kia,Corolla,2021,Black,VIN000023,EV
24,DD165,243,in use,2026-01-11 05:44:19,Tesla,CX-5,2019,White,VIN000024,Hybrid
25,TE186,336,out of fleet,2026-06-01 09:37:48,Hyundai,Ranger,2021,Silver,VIN000025,EV
26,UE234,270,available for use,2026-01-12 02:18:13,Toyota,Sportage,2023,Silver,VIN000026,EV
27,OR378,281,in use,2026-09-28 22:18:59,Mazda,Ranger,2025,Red,VIN000027,EV
28,QU754,274,in use,2026-05-15 19:50:35,Tesla,CX-5,2021,White,VIN000028,EV
29,JL522,134,in use,2026-01-05 02:23:14,Toyota,CX-5,2020,Silver,VIN000029,Hybrid
30,PR108,252,out of fleet,2026-07-05 06:35:14,Hyundai,Corolla,2024,Silver,VIN000030,Diesel
31,ZA661,192,in use,2026-12-09 14:20:47,Mazda,Model 3,2024,Black,VIN000031,Diesel
32,WX761,200,available for use,2026-03-27 16:04:13,Hyundai,Corolla,2024,Black,VIN000032,Hybrid
33,JU860,273,available for use,2026-06-10 08:32:35,Ford,Corolla,2020,Black,VIN000033,Hybrid
34,DU566,317,in use,2026-09-30 00:52:40,Mazda,Model 3,2021,Silver,VIN000034,Petrol
35,EB647,12,in use,2026-02-09 17:15:28,Hyundai,i30,2020,Blue,VIN000035,Petrol
36,HC254,8,in use,2026-05-13 18:51:31,Tesla,i30,2025,Silver,VIN000036,EV
37,WZ132,170,in use,2026-10-19 11:48:55,Ford,Corolla,2022,Blue,VIN000037,Petrol
38,RP285,99,available for use,2026-04-08 02:54:34,Tesla,Corolla,2019,Black,VIN000038,EV
39,YO353,18,in use,2026-10-13 13:42:18,Toyota,CX-5,2021,Blue,VIN000039,EV
40,VJ430,82,in use,2026-01-17 09:12:04,Kia,CX-5,2026,White,VIN000040,Hybrid
41,PU405,102,in use,2026-01-21 05:29:26,Kia,Ranger,2019,Black,VIN000041,EV
42,KA271,142,in use,2026-06-03 17:12:02,Ford,Corolla,2018,Red,VIN000042,EV
43,WT258,191,available for use,2026-04-07 14:15:34,Ford,Model 3,2019,Red,VIN000043,Hybrid
44,YU161,31,in use,2026-03-01 18:37:25,Kia,CX-5,2019,Black,VIN000044,EV
45,HK671,331,available for use,2026-11-09 20:02:26,Tesla,Sportage,2021,White,VIN000045,EV
46,LX237,129,available for use,2026-07-08 11:20:37,Kia,Model 3,2026,Silver,VIN000046,EV
